url,fragrance
/Amouage/Collections/The-Odyssey-Collection/Eau-de-Parfum-Spray/index_120532.aspx,aquatic
/Montale/Fragrances/Sea/Eau-de-Parfum-Spray/index_39758.aspx,aquatic
/Baldessarini/Mens-fragrances/Ambre-au-Fraiche/Eau-de-Toilette-Spray/index_89023.aspx,aquatic
/Porsche-Design/Mens-fragrances/180-Blue/Eau-de-Toilette-Spray/index_93612.aspx,aquatic
/Issey-Miyake/Womens-fragrances/LEau-dIssey/Eau-de-Toilette-Spray-Intense/index_111736.aspx,aquatic
/Jaguar-Classic/Mens-fragrances/Classic/Eau-de-Toilette-Spray/index_110464.aspx,aquatic
/Tonino-Lamborghini/Mens-fragrances/Millennials-Dinamico/Eau-de-Toilette-Spray/index_109759.aspx,aquatic
/Issey-Miyake/Mens-fragrances/LEau-dIssey-pour-Homme/Eau-de-Toilette-Spray-Intense/index_111737.aspx,aquatic
/LENGLING-MUNICH/Unisex-fragrances/No-3-Acqua-Tempesta/Travel-Set/index_85825.aspx,aquatic
/V-Canto/Collections/Souls-Of-The-Castle-Collection/Extrait-de-Parfum/index_114128.aspx,aquatic
/Tiziana-Terenzi/Classic-Collection/Akragas/Extrait-de-Parfum/index_114130.aspx,aquatic
/Tiziana-Terenzi/Classic-Collection/Foconero/Extrait-de-Parfum/index_73481.aspx,aquatic
/Ipuro/Room-fragrances/Essentials-by-Ipuro/Sunny-Beachtime-Candle/index_98237.aspx,aquatic
/LENGLING-MUNICH/Unisex-fragrances/No-3-Acqua-Tempesta/Travel-Refill-Set/index_85820.aspx,aquatic
/MIZENSIR/Collection/Fresh/Eau-de-Parfum-Spray/index_123542.aspx,aquatic
/Toni-Gard/Mens-fragrances/Seaside-Man/Shower-Gel/index_96492.aspx,aquatic
/Lancome/Womens-fragrances/La-vie-est-belle/Eau-de-Parfum-Spray-refillable/index_38746.aspx,floral
/Yves-Saint-Laurent/Womens-fragrances/Libre/Eau-de-Parfum-Spray/index_86932.aspx,floral
/MUGLER/Womens-fragrances/Alien/Eau-de-Parfum-Spray/index_123350.aspx,floral
/Valentino/Womens-fragrances/Donna-Born-In-Roma/Eau-de-Parfum-Spray/index_92044.aspx,floral
/Chloe/Womens-fragrances/Chloe/Eau-de-Parfum-Spray/index_15857.aspx,floral
/Abercrombie-Fitch/Womens-fragrances/Away-Weekend-Women/Eau-de-Parfum-Spray/index_123614.aspx,floral
/MUGLER/Womens-fragrances/Alien/Eau-de-Parfum-Spray-Refillable/index_92227.aspx,floral
/Yves-Saint-Laurent/Womens-fragrances/Black-Opium/Eau-de-Parfum-Spray/index_47343.aspx,floral
/Armani/Giorgio-Armani-Parfums/Si/Eau-de-Parfum-Spray/index_42560.aspx,floral
/Lacoste/Womens-fragrances/Pour-Femme/Eau-de-Parfum-Spray/index_13137.aspx,floral
/Armani/Giorgio-Armani-Parfums/di-Gioia/Eau-de-Parfum-Spray/index_26889.aspx,floral
/Lancome/Womens-fragrances/Idole/Eau-de-Parfum-Spray/index_86787.aspx,floral
/Gucci/Womens-fragrances/Gucci-Flora/Eau-de-Parfum-Spray/index_104764.aspx,floral
/Lancome/Womens-fragrances/Tresor/Eau-de-Parfum-Spray/index_12130.aspx,floral
/Armani/Giorgio-Armani-Parfums/Code-Femme/Eau-de-Parfum-Spray/index_11063.aspx,floral
/Yves-Saint-Laurent/Womens-fragrances/Mon-Paris/Eau-de-Parfum-Spray/index_59963.aspx,floral
/Jil-Sander/Womens-fragrances/Sun/Eau-de-Toilette-Spray/index_17385.aspx,floral
/DolceGabbana/Womens-fragrances/LImperatrice/Eau-de-Toilette-Spray/index_96789.aspx,floral
/Armani/Giorgio-Armani-Parfums/My-Way/Eau-de-Parfum-Spray-Refillable/index_93463.aspx,floral
/JOOP!/Mens-fragrances/Homme/Eau-de-Toilette-Spray/index_17473.aspx,floral
/Jil-Sander/Womens-fragrances/Sunset/Eau-de-Parfum-Spray/index_112239.aspx,floral
/DIOR/Womens-fragrances/Poison/Eau-de-Toilette-Spray/index_16362.aspx,floral
/XERJOFF/Collections/1861-Collection/Eau-de-Parfum-Spray-Gift-Box/index_76335.aspx,floral
/Viktor-Rolf/Womens-fragrances/Flowerbomb/Eau-de-Parfum-Spray/index_15436.aspx,floral
/Paco-Rabanne/Womens-fragrances/Lady-Million/Eau-de-Parfum-Spray/index_72319.aspx,floral
/Narciso-Rodriguez/Womens-fragrances/for-her/Eau-de-Toilette-Spray/index_21139.aspx,floral
/Calvin-Klein/Womens-fragrances/Eternity/Eau-de-Parfum-Spray/index_15340.aspx,floral
/Lacoste/Womens-fragrances/Pour-Femme/Gift-Set/index_120079.aspx,floral
/DolceGabbana/Womens-fragrances/The-One/Eau-de-Parfum-Spray/index_13059.aspx,floral
/DolceGabbana/Womens-fragrances/Light-Blue/Eau-de-Toilette-Spray/index_13043.aspx,floral
/GIVENCHY/Womens-fragrances/LInterdit/Eau-de-Parfum-Spray/index_79253.aspx,floral
/Lancome/Womens-fragrances/Tresor/Eau-de-Parfum-Spray/index_34419.aspx,floral
/Armani/Giorgio-Armani-Parfums/Emporio-Armani/Eau-de-Parfum-Spray/index_11092.aspx,floral
/Cartier/Womens-fragrances/La-Panthere/Eau-de-Parfum-Spray/index_45566.aspx,floral
/Chloe/Womens-fragrances/Nomade/Eau-de-Parfum-Spray/index_74805.aspx,floral
/DIOR/Womens-fragrances/Miss-Dior/Eau-de-Parfum-Spray/index_61371.aspx,floral
/Hugo-Boss/Boss-Black-Womens-fragrances/BOSS-Ma-Vie-Pour-Femme/Eau-de-Parfum-Spray/index_46870.aspx,floral
/DolceGabbana/Womens-fragrances/Light-Blue/Eau-de-Parfum-Spray/index_66542.aspx,floral
/Jil-Sander/Womens-fragrances/Sport-For-Women/Eau-de-Toilette-Spray/index_17344.aspx,floral
/Issey-Miyake/Womens-fragrances/LEau-dIssey/Eau-de-Toilette-Spray/index_17249.aspx,floral
/Valentino/Womens-fragrances/Voce-Viva/Eau-de-Parfum-Spray/index_93997.aspx,floral
/Marc-Jacobs/Womens-fragrances/Perfect/Eau-de-Parfum-Spray/index_106775.aspx,floral
/Gucci/Womens-fragrances/Gucci-Flora/Eau-de-Parfum-Spray/index_114738.aspx,floral
/MCM/Womens-fragrances/MCM/Eau-de-Parfum-Spray/index_102292.aspx,floral
/Gucci/Womens-fragrances/Gucci-rush/Eau-de-Toilette-Spray/index_13334.aspx,floral
/Gucci/Womens-fragrances/Gucci-Bloom/Eau-de-Parfum-Spray/index_69439.aspx,floral
/Maison-Margiela/Womens-fragrances/Replica/Eau-de-Toilette-Spray/index_44809.aspx,floral
/Viktor-Rolf/Womens-fragrances/Bonbon/Eau-de-Parfum-Spray/index_45646.aspx,floral
/DIOR/Mens-fragrances/Dior-Homme/Eau-de-Toilette-Spray/index_89097.aspx,floral
/Jean-Paul-Gaultier/Womens-fragrances/Scandal/Eau-de-Parfum-Spray/index_107015.aspx,floral
/Jean-Paul-Gaultier/Womens-fragrances/Scandal/Eau-de-Parfum-Spray/index_90242.aspx,floral
/Tiffany-Co/Womens-fragrances/Tiffany-Eau-de-Parfum/Eau-de-Parfum-Spray/index_69443.aspx,floral
/DIOR/Womens-fragrances/Dior-Addict/Eau-de-Parfum-Spray/index_46740.aspx,floral
/Lancome/Womens-fragrances/La-vie-est-belle/Body-Lotion/index_63933.aspx,floral
/DIOR/Womens-fragrances/Miss-Dior/Eau-de-Toilette-Spray/index_89087.aspx,floral
/DIOR/Womens-fragrances/Poison/Eau-de-Parfum-Spray/index_16408.aspx,floral
/Tiffany-Co/Womens-fragrances/Rose-Gold/Eau-de-Parfum-Spray/index_107482.aspx,floral
/Versace/Womens-fragrances/Versense/Eau-de-Toilette-Spray/index_17614.aspx,floral
/DIOR/Mens-fragrances/Dior-Homme/Cologne-Spray/index_41579.aspx,floral
/Marc-Jacobs/Womens-fragrances/Daisy-Eau-So-Fresh/Eau-de-Toilette-Spray/index_31827.aspx,floral
/DIOR/Womens-fragrances/Poison/Eau-de-Parfum-Spray/index_56865.aspx,floral
/Chloe/Womens-fragrances/Love-Story/Eau-de-Parfum-Spray/index_49408.aspx,floral
/Versace/Womens-fragrances/Bright-Crystal/Eau-de-Toilette-Spray/index_20091.aspx,floral
/KENZO/Womens-fragrances/FLOWER-BY-KENZO/Eau-de-Parfum-Spray/index_13176.aspx,floral
/Cartier/Womens-fragrances/Baiser-Vole/Eau-de-Parfum-Spray/index_34611.aspx,floral
/Hugo-Boss/Boss-Black-Womens-fragrances/BOSS-Femme/Eau-de-Parfum-Spray/index_12929.aspx,floral
/Versace/Womens-fragrances/Crystal-Noir/Eau-de-Parfum-Spray/index_68977.aspx,floral
/Hugo-Boss/Boss-Black-Womens-fragrances/BOSS-The-Scent-For-Her/Eau-de-Parfum-Spray/index_110643.aspx,floral
/Creed/Mens-fragrances/Green-Irish-Tweed/Eau-de-Parfum-Spray/index_15926.aspx,floral
