brand,name_1,name_2,category,gender,base_price,url,image
Gisada,Ambassador For Men,,Gift set,Men,BP: €78.95* / 1 pcs.,/Gisada/Mens-fragrances/Ambassador-For-Men/Gift-set/index_96257.aspx,https://cdn.parfumdreams.de/Img/Art/13/Gisada-Ambassador-For-Men-Geschenkset-96257.jpg
Armani,Acqua di Giò Homme,,Parfum- refillable,Men,"BP: €1,773.75* / 1000 ml",/Armani/Emporio-Armani-Parfums/Acqua-di-Gio-Homme/Parfum-refillable/index_122746.aspx,https://cdn.parfumdreams.de/Img/Art/13/Armani-Acqua-di-Gio-Homme-Parfum-122746_9.jpg
Armani,Code Homme,,Parfum- refillable,Men,"BP: €1,499.00* / 1000 ml",/Armani/Emporio-Armani-Parfums/Code-Homme/Parfum-refillable/index_115229.aspx,https://cdn.parfumdreams.de/Img/Art/13/Armani-Code-Homme-Parfum-115229_58.jpg
Valentino,Uomo Born In Roma,,Eau de Toilette Spray,Men,"BP: €1,539.00* / 1000 ml",/Valentino/Mens-fragrances/Uomo-Born-In-Roma/Eau-de-Toilette-Spray/index_92045.aspx,https://cdn.parfumdreams.de/Img/Art/13/Valentino-Uomo-Born-In-Roma-Eau-de-Toilette-Spray-92045_17.jpg
Hugo Boss,BOSS Bottled,,Parfum,Men,BP: €939.00* / 1000 ml,/Hugo-Boss/Boss-Black-Mens-fragrances/BOSS-Bottled/Parfum/index_115464.aspx,https://cdn.parfumdreams.de/Img/Art/13/Hugo-Boss-BOSS-Bottled-Parfum-115464x1_1.jpg
Davidoff,Cool Water,,Eau de Toilette Spray,Men,BP: €498.75* / 1000 ml,/Davidoff/Mens-fragrances/Cool-Water/Eau-de-Toilette-Spray/index_14089.aspx,https://cdn.parfumdreams.de/Img/Art/13/Davidoff-Cool-Water-Eau-de-Toilette-Spray-14089_22.jpg
Viktor & Rolf,Spicebomb,,Eau de Toilette Spray,Men,BP: €939.00* / 1000 ml,/Viktor-Rolf/Mens-fragrances/Spicebomb/Eau-de-Toilette-Spray/index_40370.aspx,https://cdn.parfumdreams.de/Img/Art/13/Viktor-Rolf-Spicebomb-Eau-de-Toilette-Spray-40370_19.jpg
Azzaro,Wanted,The Most Wanted,Eau de Parfum Spray Intense,Men,"BP: €1,199.00* / 1000 ml",/Azzaro/Mens-fragrances/Wanted/Eau-de-Parfum-Spray-Intense/index_101879.aspx,https://cdn.parfumdreams.de/Img/Art/13/Azzaro-Wanted-Most-Wanted-Eau-de-Parfum-Spray-Intense-101879x1_1.jpg
Valentino,Uomo Intense,,Eau de Parfum Spray,Men,"BP: €1,159.00* / 1000 ml",/Valentino/Mens-fragrances/Uomo-Intense/Eau-de-Parfum-Spray/index_92046.aspx,https://cdn.parfumdreams.de/Img/Art/13/Valentino-Uomo-Intense-Eau-de-Parfum-Spray-92046_5.jpg
Tom Ford,Signature,Noir Extreme,Eau de Parfum Spray,Men,"BP: €2,499.00* / 1000 ml",/Tom-Ford/Fragrance/Signature/Eau-de-Parfum-Spray/index_51664.aspx,https://cdn.parfumdreams.de/Img/Art/13/Tom-Ford-Signature-Noir-Extreme-Eau-de-Parfum-Spray-51664x1_8.jpg
JOOP!,WOW!,,Eau de Toilette Spray,Men,BP: €798.75* / 1000 ml,/JOOP!/Mens-fragrances/WOW!/Eau-de-Toilette-Spray/index_63916.aspx,https://cdn.parfumdreams.de/Img/Art/13/JOOP!-WOW!-Eau-de-Toilette-Spray-63916_8.jpg
DIOR,Sauvage,Citrus and Woody Notes - Refillable Bottle,Parfum Men's Fragrance,Men,"BP: €2,565.00* / 1000 ml",/DIOR/Mens-fragrances/Sauvage/Parfum-Mens-Fragrance/index_87043.aspx,https://cdn.parfumdreams.de/Img/Art/13/DIOR-Sauvage-Le-Parfum-87043x8_48.jpg
Cartier,Santos de Cartier,,Eau de Toilette Spray,Men,BP: €859.50* / 1000 ml,/Cartier/Mens-fragrances/Santos-de-Cartier/Eau-de-Toilette-Spray/index_15470.aspx,https://cdn.parfumdreams.de/Img/Art/13/Cartier-Santos-Eau-de-Toilette-Spray-15470_1.jpg
Jean Paul Gaultier,Scandal pour Homme,,Eau de Toilette Spray,Men,"BP: €1,059.00* / 1000 ml",/Jean-Paul-Gaultier/Mens-fragrances/Scandal-pour-Homme/Eau-de-Toilette-Spray/index_103839.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jean-Paul-Gaultier-Scandal-pour-Homme-Eau-de-Toilette-Spray-103839x3_26.jpg
DIOR,Dior Homme,,Eau de Toilette Spray,Men,"BP: €1,379.00* / 1000 ml",/DIOR/Mens-fragrances/Dior-Homme/Eau-de-Toilette-Spray/index_89097.aspx,https://cdn.parfumdreams.de/Img/Art/13/DIOR-Dior-Homme-Eau-de-Toilette-Spray-89097_20.jpg
Armani,Acqua di Giò Homme,,Eau de Parfum Spray- refillable,Men,"BP: €1,398.75* / 1000 ml",/Armani/Emporio-Armani-Parfums/Acqua-di-Gio-Homme/Eau-de-Parfum-Spray-refillable/index_110510.aspx,https://cdn.parfumdreams.de/Img/Art/13/Armani-Acqua-di-Gio-Homme-Eau-de-Parfum-Spray-110510_61.jpg
Atkinsons,Oud Save The King,,Eau de Parfum Spray,Men,"BP: €1,399.50* / 1000 ml",/Atkinsons/The-Oud-Collection/Oud-Save-The-King/Eau-de-Parfum-Spray/index_45432.aspx,https://cdn.parfumdreams.de/Img/Art/13/Atkinsons-Oud-Save-The-King-Eau-de-Parfum-Spray-45432_1.jpg
Halloween,Man Mystery,,Eau de Parfum Spray,Men,BP: €599.33* / 1000 ml,/Halloween/Mens-fragrances/Man-Mystery/Eau-de-Parfum-Spray/index_123264.aspx,https://cdn.parfumdreams.de/Img/Art/13/Halloween-Man-Mystery-Eau-de-Parfum-Spray-123264x1_1.jpg
Yves Saint Laurent,Y,Le Parfum,Eau de Parfum Spray,Men,BP: €979.50* / 1000 ml,/Yves-Saint-Laurent/Mens-fragrances/Y/Eau-de-Parfum-Spray/index_99050.aspx,https://cdn.parfumdreams.de/Img/Art/13/Yves-Saint-Laurent-Y-Le-Parfum-Eau-de-Parfum-Spray-99050x1_8.jpg
Prada,Luna Rossa,Carbon,Eau de Toilette Spray,Men,"BP: €1,539.00* / 1000 ml",/Prada/Mens-fragrances/Luna-Rossa/Eau-de-Toilette-Spray/index_65414.aspx,https://cdn.parfumdreams.de/Img/Art/13/Prada-Prada-Luna-Rossa-Carbon-Eau-de-Toilette-Spray-65414_1.jpg
Tom Ford,Private Blend,,Eau de Parfum Spray,Men,"BP: €3,798.33* / 1000 ml",/Tom-Ford/Fragrance/Private-Blend/Eau-de-Parfum-Spray/index_122412.aspx,https://cdn.parfumdreams.de/Img/Art/13/Tom-Ford-Private-Blend-Eau-de-Parfum-Spray-122412x2_2.jpg
Gisada,Ambassador Intense,,Gift Set,Men,BP: €94.95* / 1 pcs.,/Gisada/Mens-fragrances/Ambassador-Intense/Gift-Set/index_115773.aspx,https://cdn.parfumdreams.de/Img/Art/13/Gisada-Ambassador-Intense-Geschenkset-115773.jpg
Bvlgari,Bvlgari pour Homme Extrême,,Eau de Toilette Spray,Men,"BP: €1,499.00* / 1000 ml",/Bvlgari/Mens-fragrances/Bvlgari-pour-Homme-Extreme/Eau-de-Toilette-Spray/index_14903.aspx,https://cdn.parfumdreams.de/Img/Art/13/Bvlgari-Bvlgari-pour-Homme-Extreme-Eau-de-Toilette-Spray-14903_7.jpg
Azzaro,Wanted,,Eau de Parfum Spray,Men,"BP: €1,199.00* / 1000 ml",/Azzaro/Mens-fragrances/Wanted/Eau-de-Parfum-Spray/index_120968.aspx,https://cdn.parfumdreams.de/Img/Art/13/Azzaro-Wanted-Eau-de-Parfum-Spray-120968.jpg
Jean Paul Gaultier,Le Mâle,Ultra Mâle,Eau de Toilette Spray Intense,Men,BP: €551.60* / 1000 ml,/Jean-Paul-Gaultier/Mens-fragrances/Le-Male/Eau-de-Toilette-Spray-Intense/index_52010.aspx,https://cdn.parfumdreams.de/Img/Art/13/Jean-Paul-Gaultier-Le-Male-Ultra-Male-Eau-de-Toilette-Spray-Intense-52010x1_38.jpg
MUGLER,A*Men,Rubber,Eau de Toilette Spray Refillable,Men,BP: €769.50* / 1000 ml,/MUGLER/Mens-fragrances/AMen/Eau-de-Toilette-Spray-Refillable/index_55922.aspx,https://cdn.parfumdreams.de/Img/Art/13/MUGLER-AMen-Rubber-Eau-de-Toilette-Spray-Refillable-55922_7.jpg
Hugo Boss,BOSS Bottled,Night,Eau de Toilette Spray,Men,BP: €399.75* / 1000 ml,/Hugo-Boss/Boss-Black-Mens-fragrances/BOSS-Bottled/Eau-de-Toilette-Spray/index_28542.aspx,https://cdn.parfumdreams.de/Img/Art/13/Hugo-Boss-Boss-Bottled-Night-Eau-de-Toilette-Spray-28542.jpg
Prada,Luna Rossa,Sport,Eau de Toilette Spray,Men,"BP: €1,299.00* / 1000 ml",/Prada/Mens-fragrances/Luna-Rossa/Eau-de-Toilette-Spray/index_52260.aspx,https://cdn.parfumdreams.de/Img/Art/13/Prada-Prada-Luna-Rossa-Sport-Eau-de-Toilette-Spray-52260_1.jpg
Hugo Boss,BOSS Bottled,,Eau de Parfum Spray,Men,BP: €569.50* / 1000 ml,/Hugo-Boss/Boss-Black-Mens-fragrances/BOSS-Bottled/Eau-de-Parfum-Spray/index_94045.aspx,https://cdn.parfumdreams.de/Img/Art/13/Hugo-Boss-BOSS-Bottled-Eau-de-Parfum-Spray-94045x1_50.jpg
DIOR,Dior Homme,Dior Homme Sport,Eau de Toilette Spray,Men,BP: €972.67* / 1000 ml,/DIOR/Mens-fragrances/Dior-Homme/Eau-de-Toilette-Spray/index_109978.aspx,https://cdn.parfumdreams.de/Img/Art/13/DIOR-Dior-Homme-Dior-Homme-Sport-Eau-de-Toilette-Spray-109978_18.jpg
Dolce&Gabbana,K by Dolce&Gabbana,,Eau de Parfum Spray,Men,BP: €999.00* / 1000 ml,/DolceGabbana/Mens-fragrances/K-by-DolceGabbana/Eau-de-Parfum-Spray/index_93461.aspx,https://cdn.parfumdreams.de/Img/Art/13/DolceGabbana-K-by-DolceGabbana-Eau-de-Parfum-Spray-93461_19.jpg
GIVENCHY,GENTLEMAN GIVENCHY,,Eau de Parfum Spray,Men,BP: €899.17* / 1000 ml,/GIVENCHY/Mens-fragrances/GENTLEMAN-GIVENCHY/Eau-de-Parfum-Spray/index_74885.aspx,https://cdn.parfumdreams.de/Img/Art/13/GIVENCHY-GENTLEMAN-GIVENCHY-Eau-de-Parfum-Spray-74885_21.jpg
Hugo Boss,BOSS The Scent,,Le Parfum,Men,"BP: €1,199.00* / 1000 ml",/Hugo-Boss/Boss-Black-Mens-fragrances/BOSS-The-Scent/Le-Parfum/index_110642.aspx,https://cdn.parfumdreams.de/Img/Art/13/Hugo-Boss-BOSS-The-Scent-Le-Parfum-110642_18.jpg
Prada,Luna Rossa,,Eau de Toilette Spray,Men,"BP: €1,089.50* / 1000 ml",/Prada/Mens-fragrances/Luna-Rossa/Eau-de-Toilette-Spray/index_39068.aspx,https://cdn.parfumdreams.de/Img/Art/13/Prada-Prada-Luna-Rossa-Eau-de-Toilette-Spray-39068_3.jpg
